@ NAME             %7s "HLTABLE"
@ TYPE             %04s "USER"
@ TITLE            %20s "FNAL Booster lattice"
@ ORIGIN           %24s "MAD-X 5.01.00 Windows 32"
@ DATE             %08s "24/03/13"
@ TIME             %08s "22.38.54"
*          TIME       I_HL01    I_HL10    I_HL11    I_HL12    I_HL13    I_HL14    I_HL15    I_HL16    I_HL17    I_HL18    I_HL19    I_HL02    I_HL20    I_HL21    I_HL22    I_HL23    I_HL24    I_HL03    I_HL04    I_HL05    I_HL06    I_HL07    I_HL08    I_HL09    
$          %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        
           0.000000  0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   
           2.000000  0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   
           3.100000  -9.395967e+00   1.075023e+01   8.984800e+00   1.144470e+01   2.507300e+01   8.998900e+00   1.966333e+01   1.292387e+01   2.140567e+01   7.592267e+00   6.335967e+00   -8.407000e-01   3.546300e-01   1.341747e+01   9.982750e+00   7.101233e+00   3.367167e+00   4.743000e-01   -1.172133e+01   -1.303733e+01   4.278267e+00   5.063533e+00   1.356630e+01   8.496333e+00   
           4.180000  -8.790807e+00   9.348753e+00   7.157440e+00   1.019946e+01   1.959740e+01   3.943420e+00   1.797133e+01   1.058963e+01   1.779487e+01   8.891147e+00   5.957607e+00   1.538540e+00   -7.926000e-03   1.004211e+01   6.556450e+00   2.794553e+00   6.041667e-01   1.114740e+00   -1.108773e+01   -1.484453e+01   3.957147e+00   4.021693e+00   1.071834e+01   9.536733e+00   
           5.220000  -8.208060e+00   7.999180e+00   5.397760e+00   9.000340e+00   1.432460e+01   -9.248200e-01   1.634200e+01   8.341840e+00   1.431780e+01   1.014192e+01   5.593260e+00   3.829660e+00   -3.570540e-01   6.791760e+00   3.257050e+00   -1.352620e+00   -2.056500e+00   1.731460e+00   -1.047760e+01   -1.658480e+01   3.647920e+00   3.018440e+00   7.975860e+00   1.053860e+01   
           6.220000  -7.062545e+00   7.749465e+00   4.846460e+00   8.064975e+00   1.035515e+01   -4.563955e+00   1.528665e+01   6.544515e+00   1.210655e+01   1.106405e+01   5.713800e+00   6.053560e+00   6.798950e-02   5.256330e+00   1.566662e+00   -4.124365e+00   -3.644065e+00   2.775130e+00   -1.013440e+01   -1.713540e+01   3.691660e+00   2.616460e+00   6.629655e+00   1.161560e+01   
           7.180000  -3.971105e+00   1.107658e+01   8.199740e+00   7.907775e+00   1.029035e+01   -4.511395e+00   1.601385e+01   6.058035e+00   1.383695e+01   1.099445e+01   7.432200e+00   8.259640e+00   3.065325e+00   9.193770e+00   4.988462e+00   -2.646685e+00   -1.863985e+00   5.310970e+00   -1.063360e+01   -1.384260e+01   4.894540e+00   4.145740e+00   9.730695e+00   1.303640e+01   
           8.110000  -9.762725e-01   1.429973e+01   1.144823e+01   7.755488e+00   1.022758e+01   -4.460478e+00   1.671832e+01   5.586758e+00   1.551327e+01   1.092703e+01   9.096900e+00   1.039678e+01   5.968995e+00   1.300816e+01   8.303331e+00   -1.215183e+00   -1.395325e-01   7.767565e+00   -1.111720e+01   -1.065270e+01   6.059830e+00   5.627230e+00   1.273483e+01   1.441280e+01   
           9.010000  1.921952e+00   1.741891e+01   1.459193e+01   7.608113e+00   1.016683e+01   -4.411203e+00   1.740007e+01   5.130683e+00   1.713552e+01   1.086178e+01   1.070790e+01   1.246498e+01   8.778997e+00   1.669951e+01   1.151127e+01   1.701425e-01   1.529292e+00   1.014491e+01   -1.158520e+01   -7.565700e+00   7.187530e+00   7.060930e+00   1.564205e+01   1.574480e+01   
           9.890000  4.755772e+00   2.046877e+01   1.766577e+01   7.464013e+00   1.010743e+01   -4.363023e+00   1.806667e+01   4.684743e+00   1.872172e+01   1.079798e+01   1.228310e+01   1.448722e+01   1.152656e+01   2.030883e+01   1.464792e+01   1.524682e+00   3.161032e+00   1.246943e+01   -1.204280e+01   -4.547300e+00   8.290170e+00   8.462770e+00   1.848467e+01   1.704720e+01   
