@ NAME             %7s "HSTABLE"
@ TYPE             %04s "USER"
@ TITLE            %20s "FNAL Booster lattice"
@ ORIGIN           %24s "MAD-X 5.01.00 Windows 32"
@ DATE             %08s "24/03/13"
@ TIME             %08s "22.38.54"
*          TIME       I_HS01    I_HS10    I_HS11    I_HS12    I_HS13    I_HS14    I_HS15    I_HS16    I_HS17    I_HS18    I_HS19    I_HS02    I_HS20    I_HS21    I_HS22    I_HS23    I_HS24    I_HS03    I_HS04    I_HS05    I_HS06    I_HS07    I_HS08    I_HS09    
$          %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        
           0.000000  0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   
           2.000000  0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   
           3.100000  1.137547e+01   3.543200e+00   4.605000e+00   -1.256720e+00   2.154700e+00   4.899767e-01   1.291633e+00   6.240167e+00   1.943233e+00   8.092267e+00   9.796833e+00   6.714400e+00   1.126386e+01   4.493200e+00   8.737967e+00   9.561867e+00   1.083961e+01   1.087867e+01   1.670810e+01   1.751550e+01   8.590533e+00   9.842033e+00   6.145700e+00   2.955167e+00   
           4.180000  6.142507e+00   -4.290400e-01   -9.570000e-01   -5.428976e+00   -1.034540e+00   -2.919835e+00   -2.751527e+00   3.207167e+00   -2.590247e+00   2.111947e+00   3.498633e+00   1.286320e+00   7.093587e+00   1.266160e+00   6.566807e+00   7.195227e+00   6.731398e+00   5.896267e+00   1.312358e+01   1.444290e+01   3.628293e+00   6.839993e+00   8.504600e-01   -2.443033e+00   
           5.220000  1.103360e+00   -4.254160e+00   -6.313000e+00   -9.446704e+00   -4.105660e+00   -6.203358e+00   -6.644940e+00   2.865000e-01   -6.955820e+00   -3.646880e+00   -2.566300e+00   -3.940720e+00   3.077766e+00   -1.841360e+00   4.476060e+00   4.916240e+00   2.775342e+00   1.098400e+00   9.671820e+00   1.148410e+01   -1.150160e+00   3.949140e+00   -4.248660e+00   -7.641300e+00   
           6.220000  -3.004680e+00   -7.285635e+00   -1.035310e+01   -1.238960e+01   -6.266605e+00   -8.754770e+00   -9.404345e+00   -1.858900e+00   -1.027675e+01   -8.045090e+00   -7.083045e+00   -8.316345e+00   -4.194695e-01   -4.536540e+00   2.674855e+00   3.269370e+00   -3.529215e-01   -2.701795e+00   7.080690e+00   8.774290e+00   -4.943990e+00   1.562375e+00   -8.295585e+00   -1.152295e+01   
           7.180000  -4.438920e+00   -7.995315e+00   -1.045390e+01   -1.208240e+01   -5.645245e+00   -9.142130e+00   -8.703305e+00   -1.662100e+00   -1.048075e+01   -8.390210e+00   -6.943605e+00   -1.030330e+01   -2.537445e+00   -6.127260e+00   1.657495e+00   3.541530e+00   -1.056433e+00   -3.582355e+00   7.070610e+00   6.633010e+00   -5.860310e+00   6.083750e-01   -9.266865e+00   -1.144855e+01   
           8.110000  -5.828340e+00   -8.682817e+00   -1.055155e+01   -1.178480e+01   -5.043303e+00   -9.517385e+00   -8.024173e+00   -1.471450e+00   -1.067837e+01   -8.724545e+00   -6.808523e+00   -1.222817e+01   -4.589235e+00   -7.668270e+00   6.719275e-01   3.805185e+00   -1.737961e+00   -4.435397e+00   7.060845e+00   4.558645e+00   -6.747995e+00   -3.158125e-01   -1.020779e+01   -1.137648e+01   
           9.010000  -7.172940e+00   -9.348142e+00   -1.064605e+01   -1.149680e+01   -4.460778e+00   -9.880535e+00   -7.366948e+00   -1.286950e+00   -1.086962e+01   -9.048095e+00   -6.677798e+00   -1.409095e+01   -6.574837e+00   -9.159570e+00   -2.818475e-01   4.060335e+00   -2.397503e+00   -5.260922e+00   7.051395e+00   2.551195e+00   -7.607045e+00   -1.210187e+00   -1.111837e+01   -1.130673e+01   
           9.890000  -8.487660e+00   -9.998682e+00   -1.073845e+01   -1.121520e+01   -3.891198e+00   -1.023561e+01   -6.724328e+00   -1.106550e+00   -1.105662e+01   -9.364455e+00   -6.549978e+00   -1.591233e+01   -8.516315e+00   -1.061773e+01   -1.214427e+00   4.309815e+00   -3.042389e+00   -6.068102e+00   7.042155e+00   5.883550e-01   -8.447005e+00   -2.084687e+00   -1.200871e+01   -1.123853e+01   
