@ NAME             %7s "QLTABLE"
@ TYPE             %04s "USER"
@ TITLE            %20s "FNAL Booster lattice"
@ ORIGIN           %24s "MAD-X 5.01.00 Windows 32"
@ DATE             %08s "24/03/13"
@ TIME             %08s "22.38.54"
*          TIME       I_QL01    I_QL10    I_QL11    I_QL12    I_QL13    I_QL14    I_QL15    I_QL16    I_QL17    I_QL18    I_QL19    I_QL02    I_QL20    I_QL21    I_QL22    I_QL23    I_QL24    I_QL03    I_QL04    I_QL05    I_QL06    I_QL07    I_QL08    I_QL09    
$          %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        
           0.000000  0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   
           2.000000  2.850481e+00   -6.044173e+00   -2.203841e+00   -5.770430e+00   2.416063e+00   8.727889e-01   4.292589e+00   -7.514052e+00   -5.988631e+00   2.519088e-01   2.322832e+00   -7.617326e-01   4.141832e+00   -3.531022e-01   -1.217970e+00   6.897111e+00   3.062730e+00   -6.591658e+00   1.428084e-01   -3.197646e+00   -1.146150e+01   -4.988875e+00   -4.471144e+00   4.895616e+00   
           3.100000  2.049182e+00   -6.845471e+00   -3.005139e+00   -6.571728e+00   1.614765e+00   7.149067e-02   3.491290e+00   -8.315350e+00   -6.789929e+00   -5.493895e-01   1.521533e+00   -1.563031e+00   3.340534e+00   -1.154400e+00   -2.019269e+00   6.095813e+00   2.261432e+00   -7.392956e+00   -6.584898e-01   -3.998944e+00   -1.226280e+01   -5.790173e+00   -5.272442e+00   4.094318e+00   
           4.180000  1.553884e+00   -7.340770e+00   -3.500438e+00   -7.067027e+00   1.119466e+00   -4.238079e-01   2.995992e+00   -8.810649e+00   -7.285228e+00   -1.044688e+00   1.026235e+00   -2.058329e+00   2.845235e+00   -1.649699e+00   -2.514567e+00   5.600515e+00   1.766133e+00   -7.888255e+00   -1.153788e+00   -4.494243e+00   -1.275810e+01   -6.285472e+00   -5.767741e+00   3.599019e+00   
           5.220000  1.040435e+00   -7.854218e+00   -4.013886e+00   -7.580476e+00   6.060171e-01   -9.372568e-01   2.482543e+00   -9.324098e+00   -7.798677e+00   -1.558137e+00   5.127859e-01   -2.571778e+00   2.331786e+00   -2.163148e+00   -3.028016e+00   5.087066e+00   1.252685e+00   -8.401704e+00   -1.667237e+00   -5.007691e+00   -1.327155e+01   -6.798921e+00   -6.281190e+00   3.085570e+00   
           6.220000  6.078948e-01   -8.286758e+00   -4.446426e+00   -8.013016e+00   1.734771e-01   -1.369797e+00   2.050003e+00   -9.756638e+00   -8.231217e+00   -1.990677e+00   8.024590e-02   -3.004318e+00   1.899246e+00   -2.595688e+00   -3.460556e+00   4.654526e+00   8.201446e-01   -8.834244e+00   -2.099777e+00   -5.440231e+00   -1.370409e+01   -7.231461e+00   -6.713730e+00   2.653030e+00   
           7.180000  1.207323e-01   -8.773921e+00   -4.933589e+00   -8.500178e+00   -3.136854e-01   -1.856959e+00   1.562840e+00   -1.024380e+01   -8.718379e+00   -2.477839e+00   -4.069166e-01   -3.491481e+00   1.412084e+00   -3.082850e+00   -3.947719e+00   4.167363e+00   3.329821e-01   -9.321406e+00   -2.586940e+00   -5.927394e+00   -1.419125e+01   -7.718623e+00   -7.200892e+00   2.165868e+00   
           8.110000  -2.862452e-01   -9.180898e+00   -5.340566e+00   -8.907156e+00   -7.206629e-01   -2.263937e+00   1.155863e+00   -1.065078e+01   -9.125357e+00   -2.884817e+00   -8.138941e-01   -3.898458e+00   1.005106e+00   -3.489828e+00   -4.354696e+00   3.760386e+00   -7.399542e-02   -9.728384e+00   -2.993917e+00   -6.334371e+00   -1.459823e+01   -8.125601e+00   -7.607870e+00   1.758890e+00   
           9.010000  -7.138052e-01   -9.608458e+00   -5.768126e+00   -9.334716e+00   -1.148223e+00   -2.691497e+00   7.283030e-01   -1.107834e+01   -9.552917e+00   -3.312377e+00   -1.241454e+00   -4.326018e+00   5.775461e-01   -3.917388e+00   -4.782256e+00   3.332826e+00   -5.015554e-01   -1.015594e+01   -3.421477e+00   -6.761931e+00   -1.502579e+01   -8.553161e+00   -8.035430e+00   1.331330e+00   
           9.890000  -1.039405e+00   -9.934058e+00   -6.093726e+00   -9.660316e+00   -1.473823e+00   -3.017097e+00   4.027030e-01   -1.140394e+01   -9.878517e+00   -3.637977e+00   -1.567054e+00   -4.651618e+00   2.519461e-01   -4.242988e+00   -5.107856e+00   3.007226e+00   -8.271554e-01   -1.048154e+01   -3.747077e+00   -7.087531e+00   -1.535139e+01   -8.878761e+00   -8.361030e+00   1.005730e+00   
           10.750000  -1.328891e+00   -1.022354e+01   -6.383212e+00   -9.949802e+00   -1.763309e+00   -3.306583e+00   1.132173e-01   -1.169342e+01   -1.016800e+01   -3.927463e+00   -1.856540e+00   -4.941104e+00   -3.753957e-02   -4.532474e+00   -5.397342e+00   2.717740e+00   -1.116641e+00   -1.077103e+01   -4.036563e+00   -7.377017e+00   -1.564087e+01   -9.168246e+00   -8.650516e+00   7.162446e-01   
           11.600000  -1.681783e+00   -1.057644e+01   -6.736104e+00   -1.030269e+01   -2.116201e+00   -3.659475e+00   -2.396748e-01   -1.204632e+01   -1.052089e+01   -4.280355e+00   -2.209432e+00   -5.293996e+00   -3.904316e-01   -4.885366e+00   -5.750234e+00   2.364848e+00   -1.469533e+00   -1.112392e+01   -4.389455e+00   -7.729909e+00   -1.599376e+01   -9.521138e+00   -9.003408e+00   3.633525e-01   
           12.440000  -2.096555e+00   -1.099121e+01   -7.150876e+00   -1.071747e+01   -2.530973e+00   -4.074247e+00   -6.544470e-01   -1.246109e+01   -1.093567e+01   -4.695127e+00   -2.624204e+00   -5.708768e+00   -8.052039e-01   -5.300138e+00   -6.165006e+00   1.950076e+00   -1.884305e+00   -1.153869e+01   -4.804227e+00   -8.144681e+00   -1.640854e+01   -9.935911e+00   -9.418180e+00   -5.141968e-02   
