@ NAME             %07s "QLerrTABLE"
@ TYPE             %04s "USER"
@ TITLE            %20s "FNAL Booster lattice"
@ ORIGIN           %24s "MAD-X 5.01.00 Windows 32"
@ DATE             %08s "24/03/13"
@ TIME             %08s "22.38.54"
*                 TIME               K_QLerr01               K_QLerr02               K_QLerr03               K_QLerr04               K_QLerr05               K_QLerr06               K_QLerr07               K_QLerr08               K_QLerr09               K_QLerr10               K_QLerr11               K_QLerr12               K_QLerr13               K_QLerr14               K_QLerr15               K_QLerr16               K_QLerr17               K_QLerr18               K_QLerr19               K_QLerr20               K_QLerr21               K_QLerr22               K_QLerr23               K_QLerr24 
$                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le 
             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000
             2.00000000             0.00000000             0.00000000             0.00000000             0.00000000             0.00000000             0.00000000             0.00000000             0.00000000             0.00000000             0.00000000             0.00000000             0.00000000             0.00000000             0.00000000             0.00000000             0.00000000             0.00000000             0.00000000             0.00000000             0.00000000             0.00000000             0.00000000             0.00000000             0.00000000
             3.09608010            -0.00223834            -0.00131508             0.00087807            -0.00039132             0.00032260             0.00045461            -0.00011956             0.00014791            -0.00216205             0.00017854             0.00088352            -0.00041555             0.00113873             0.00076285            -0.00192286            -0.00074079            -0.00046171             0.00025826            -0.00007075             0.00158118            -0.00131238            -0.00070583            -0.00045417            -0.00090290
             4.18129020            -0.00197917            -0.00012771             0.00169366             0.00024272             0.00008284            -0.00011324             0.00070389             0.00025956            -0.00124871             0.00067932             0.00088279            -0.00017923             0.00145667             0.00109310            -0.00155525            -0.00054215            -0.00020498             0.00070007             0.00056625             0.00174902            -0.00118347            -0.00058211            -0.00039405            -0.00037565
             5.21875000            -0.00189901             0.00079339             0.00180198             0.00039528             0.00017520             0.00012709             0.00081654             0.00021055            -0.00138446             0.00077647             0.00153961             0.00069005             0.00172099             0.00112522            -0.00130468            -0.00034514            -0.00010047             0.00057977             0.00106568             0.00208189            -0.00099549            -0.00102282            -0.00001931            -0.00021337
             6.21467020            -0.00191563             0.00032752             0.00182400             0.00018534            -0.00042753             0.00027675             0.00092069            -0.00016394            -0.00135872             0.00041304             0.00142675             0.00053482             0.00158083             0.00081428            -0.00133794            -0.00031414            -0.00008460             0.00050647             0.00108788             0.00133975            -0.00093910            -0.00065655            -0.00033646            -0.00032267
             7.17473980            -0.00223518             0.00067711             0.00126672            -0.00014468            -0.00042658             0.00020518             0.00092752            -0.00022719            -0.00152506             0.00001303             0.00107527             0.00042477             0.00133186             0.00061649            -0.00114960            -0.00065903            -0.00002088             0.00048002             0.00091960             0.00144803            -0.00099976            -0.00129613            -0.00009644            -0.00085137
             8.10408020            -0.00268759            -0.00013445            -0.00001813            -0.00063170            -0.00077321            -0.00070489             0.00016899            -0.00069497            -0.00197909            -0.00036211             0.00076185            -0.00031818             0.00073778            -0.00017635            -0.00181516            -0.00119597            -0.00056997            -0.00032928             0.00040986             0.00059432            -0.00157465            -0.00160509            -0.00040433            -0.00149155
             9.00732040            -0.00164032            -0.00012956             0.00019810             0.00002549            -0.00009369            -0.00005739             0.00045092            -0.00037940            -0.00103948            -0.00017302             0.00092918             0.00035639             0.00084227            -0.00003473            -0.00056548             0.00006623            -0.00005943            -0.00012405             0.00053603             0.00108441            -0.00056725            -0.00095893            -0.00020619            -0.00081931
             9.88860990            -0.00169247            -0.00036931            -0.00011830             0.00000031             0.00020148             0.00001218             0.00012831            -0.00024636            -0.00114834            -0.00021296             0.00077267             0.00055216             0.00090581            -0.00014816            -0.00086462             0.00012680            -0.00039242            -0.00027548             0.00078550             0.00091269            -0.00056755            -0.00089571            -0.00032779            -0.00069789
