@ NAME             %7s "QSTABLE"
@ TYPE             %04s "USER"
@ TITLE            %20s "FNAL Booster lattice"
@ ORIGIN           %24s "MAD-X 5.01.00 Windows 32"
@ DATE             %08s "24/03/13"
@ TIME             %08s "22.38.54"
*          TIME       I_QS01    I_QS10    I_QS11    I_QS12    I_QS13    I_QS14    I_QS15    I_QS16    I_QS17    I_QS18    I_QS19    I_QS02    I_QS20    I_QS21    I_QS22    I_QS23    I_QS24    I_QS03    I_QS04    I_QS05    I_QS06    I_QS07    I_QS08    I_QS09    
$          %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        
           0.000000  0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   
           2.000000  4.220733e+00   -2.462159e+00   -4.189911e+00   -1.490174e+00   -4.578705e+00   -3.307190e+00   1.899871e+00   2.223205e+00   4.797973e+00   -1.878968e+00   -3.325043e+00   6.130981e+00   -6.227112e+00   -4.907990e+00   -3.356781e+00   2.653656e+00   1.592407e+00   3.084106e+00   5.149078e+00   1.366271e+00   -3.582917e+00   1.525391e-03   -4.237519e+00   -5.558625e+00   
           3.100000  4.908483e+00   -1.774409e+00   -3.502161e+00   -8.024238e-01   -3.890955e+00   -2.619440e+00   2.587621e+00   2.910955e+00   5.485723e+00   -1.191218e+00   -2.637293e+00   6.818731e+00   -5.539362e+00   -4.220240e+00   -2.669031e+00   3.341406e+00   2.280157e+00   3.771856e+00   5.836828e+00   2.054021e+00   -2.895167e+00   6.892754e-01   -3.549769e+00   -4.870875e+00   
           4.180000  5.923266e+00   -7.596254e-01   -2.487378e+00   2.123595e-01   -2.876172e+00   -1.604657e+00   3.602405e+00   3.925738e+00   6.500506e+00   -1.764344e-01   -1.622510e+00   7.833514e+00   -4.524579e+00   -3.205457e+00   -1.654248e+00   4.356189e+00   3.294940e+00   4.786639e+00   6.851611e+00   3.068805e+00   -1.880383e+00   1.704059e+00   -2.534985e+00   -3.856091e+00   
           5.220000  6.810733e+00   1.278413e-01   -1.599911e+00   1.099826e+00   -1.988705e+00   -7.171904e-01   4.489871e+00   4.813205e+00   7.387973e+00   7.110322e-01   -7.350432e-01   8.720981e+00   -3.637112e+00   -2.317990e+00   -7.667815e-01   5.243656e+00   4.182407e+00   5.674106e+00   7.739078e+00   3.956271e+00   -9.929167e-01   2.591525e+00   -1.647519e+00   -2.968625e+00   
           6.220000  7.513711e+00   8.308191e-01   -8.969336e-01   1.802804e+00   -1.285728e+00   -1.421265e-02   5.192849e+00   5.516183e+00   8.090951e+00   1.414010e+00   -3.206544e-02   9.423959e+00   -2.934135e+00   -1.615012e+00   -6.380372e-02   5.946633e+00   4.885385e+00   6.377084e+00   8.442056e+00   4.659249e+00   -2.899390e-01   3.294503e+00   -9.445410e-01   -2.265647e+00   
           7.180000  8.158683e+00   1.475791e+00   -2.519614e-01   2.447776e+00   -6.407553e-01   6.307596e-01   5.837821e+00   6.161155e+00   8.735923e+00   2.058982e+00   6.129068e-01   1.006893e+01   -2.289162e+00   -9.700400e-01   5.811685e-01   6.591606e+00   5.530357e+00   7.022056e+00   9.087028e+00   5.304221e+00   3.550333e-01   3.939475e+00   -2.995688e-01   -1.620675e+00   
           8.110000  8.601553e+00   1.918661e+00   1.909086e-01   2.890646e+00   -1.978853e-01   1.073630e+00   6.280691e+00   6.604025e+00   9.178793e+00   2.501852e+00   1.055777e+00   1.051180e+01   -1.846292e+00   -5.271700e-01   1.024039e+00   7.034476e+00   5.973227e+00   7.464926e+00   9.529898e+00   5.747091e+00   7.979033e-01   4.382345e+00   1.433012e-01   -1.177805e+00   
           9.010000  8.886266e+00   2.203375e+00   4.756220e-01   3.175360e+00   8.682801e-02   1.358343e+00   6.565405e+00   6.888738e+00   9.463506e+00   2.786566e+00   1.340490e+00   1.079651e+01   -1.561579e+00   -2.424567e-01   1.308752e+00   7.319189e+00   6.257940e+00   7.749639e+00   9.814611e+00   6.031805e+00   1.082617e+00   4.667059e+00   4.280145e-01   -8.930914e-01   
           9.890000  9.242633e+00   2.559741e+00   8.319886e-01   3.531726e+00   4.431947e-01   1.714710e+00   6.921771e+00   7.245105e+00   9.819873e+00   3.142932e+00   1.696857e+00   1.115288e+01   -1.205212e+00   1.139100e-01   1.665119e+00   7.675556e+00   6.614307e+00   8.106006e+00   1.017098e+01   6.388171e+00   1.438983e+00   5.023425e+00   7.843812e-01   -5.367248e-01   
