@ NAME             %07s "QSerrTABLE"
@ TYPE             %04s "USER"
@ TITLE            %20s "FNAL Booster lattice"
@ ORIGIN           %24s "MAD-X 5.01.00 Windows 32"
@ DATE             %08s "24/03/13"
@ TIME             %08s "22.38.54"
*                 TIME               K_QSerr01               K_QSerr02               K_QSerr03               K_QSerr04               K_QSerr05               K_QSerr06               K_QSerr07               K_QSerr08               K_QSerr09               K_QSerr10               K_QSerr11               K_QSerr12               K_QSerr13               K_QSerr14               K_QSerr15               K_QSerr16               K_QSerr17               K_QSerr18               K_QSerr19               K_QSerr20               K_QSerr21               K_QSerr22               K_QSerr23               K_QSerr24 
$                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le 
             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000
             2.00000000             0.00000000             0.00000000             0.00000000             0.00000000             0.00000000             0.00000000             0.00000000             0.00000000             0.00000000             0.00000000             0.00000000             0.00000000             0.00000000             0.00000000             0.00000000             0.00000000             0.00000000             0.00000000             0.00000000             0.00000000             0.00000000             0.00000000             0.00000000             0.00000000
             3.09608010             0.00174040             0.00155410             0.00075656             0.00179793             0.00174173             0.00245132             0.00143645             0.00332453             0.00308909             0.00279700             0.00211490             0.00217188             0.00165753             0.00111982             0.00193029             0.00327580             0.00314044             0.00230722             0.00013101             0.00118922             0.00219643             0.00297366             0.00110042             0.00297328
             4.18129020             0.00008517             0.00002968            -0.00077480             0.00071514             0.00126850             0.00142082             0.00042151             0.00140791             0.00191384             0.00108156             0.00106842             0.00114363             0.00103168             0.00018789             0.00088263             0.00078076             0.00163959             0.00114256            -0.00053744             0.00004896             0.00108635             0.00154889             0.00027707             0.00149282
             5.21875000            -0.00034515            -0.00076380            -0.00072023             0.00024434             0.00075665             0.00080517             0.00033519             0.00063751             0.00104144             0.00061194             0.00045073             0.00058181             0.00013464            -0.00017716             0.00029357             0.00072673             0.00104514             0.00051104            -0.00064330            -0.00052088             0.00098469             0.00093578            -0.00052395             0.00093674
             6.21467020            -0.00063306            -0.00078199            -0.00031064             0.00037192             0.00085552             0.00061782             0.00005317             0.00052825             0.00093862             0.00066199             0.00038765             0.00053205            -0.00008750            -0.00027159             0.00028959             0.00088378             0.00105757             0.00041018            -0.00077444            -0.00052298             0.00109998             0.00058078            -0.00081491             0.00060103
             7.17473980            -0.00053682            -0.00061638            -0.00061412             0.00036524             0.00067783             0.00065651             0.00019687             0.00070560             0.00087878             0.00071119             0.00038546             0.00041567             0.00000128            -0.00011151             0.00041570             0.00063091             0.00090864             0.00042732            -0.00095070            -0.00040281             0.00103763             0.00082438            -0.00039524             0.00085521
             8.10408020            -0.00047961            -0.00020644            -0.00027036             0.00058013             0.00042416             0.00062492             0.00007988             0.00071530             0.00106235             0.00071344             0.00031650             0.00072324            -0.00003159             0.00013421             0.00058482             0.00053150             0.00108702             0.00054852            -0.00114070            -0.00046750             0.00093141             0.00077512            -0.00037801             0.00088935
             9.00732040            -0.00046264             0.00014092            -0.00004731             0.00068172             0.00053715             0.00028999             0.00023700             0.00107166             0.00120124             0.00085972             0.00070788             0.00045404             0.00045991             0.00028331             0.00045906             0.00030466             0.00143342             0.00095766            -0.00120748            -0.00024386             0.00084719             0.00089555            -0.00042867             0.00089620
             9.88860990            -0.00044390            -0.00007714             0.00011890             0.00072130             0.00054765             0.00018162             0.00014621             0.00082234             0.00122241             0.00084867             0.00067339             0.00039223             0.00062787             0.00019604             0.00034725             0.00052290             0.00124478             0.00089243            -0.00082410            -0.00026414             0.00068864             0.00066551            -0.00049350             0.00074322
