@ NAME             %8s "SQLTABLE"
@ TYPE             %04s "USER"
@ TITLE            %20s "FNAL Booster lattice"
@ ORIGIN           %24s "MAD-X 5.01.00 Windows 32"
@ DATE             %08s "24/03/13"
@ TIME             %08s "22.38.54"
*          TIME       I_SQL01    I_SQL10    I_SQL11    I_SQL12    I_SQL13    I_SQL14    I_SQL15    I_SQL16    I_SQL17    I_SQL18    I_SQL19    I_SQL02    I_SQL20    I_SQL21    I_SQL22    I_SQL23    I_SQL24    I_SQL03    I_SQL04    I_SQL05    I_SQL06    I_SQL07    I_SQL08    I_SQL09    
$          %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        
           0.000000  0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   
           2.000000  -7.223364e-02   -4.781958e-02   -2.116990e-01   -5.895850e-02   -1.900315e-01   -1.964402e-01   -1.917100e-01   -2.380967e-01   -1.096177e-01   -1.727891e-01   -7.223364e-02   -1.727891e-01   -2.033066e-01   -5.056616e-02   -2.144456e-01   -5.056616e-02   -2.033066e-01   -1.096177e-01   -1.311326e-01   -1.526475e-01   -8.947607e-02   -1.900315e-01   -5.895850e-02   -2.116990e-01   
           3.100000  -5.772586e-01   -5.528446e-01   -7.167240e-01   -5.639835e-01   -6.950565e-01   -7.014652e-01   -6.967350e-01   -7.431217e-01   -6.146427e-01   -6.778141e-01   -5.772586e-01   -6.778141e-01   -7.083316e-01   -5.555912e-01   -7.194706e-01   -5.555912e-01   -7.083316e-01   -6.146427e-01   -6.361576e-01   -6.576725e-01   -5.945011e-01   -6.950565e-01   -5.639835e-01   -7.167240e-01   
           4.180000  -9.600570e-01   -9.356429e-01   -1.099522e+00   -9.467818e-01   -1.077855e+00   -1.084264e+00   -1.079533e+00   -1.125920e+00   -9.974410e-01   -1.060612e+00   -9.600570e-01   -1.060612e+00   -1.091130e+00   -9.383895e-01   -1.102269e+00   -9.383895e-01   -1.091130e+00   -9.974410e-01   -1.018956e+00   -1.040471e+00   -9.772994e-01   -1.077855e+00   -9.467818e-01   -1.099522e+00   
           5.220000  -1.291964e+00   -1.267550e+00   -1.431429e+00   -1.278688e+00   -1.409761e+00   -1.416170e+00   -1.411440e+00   -1.457827e+00   -1.329348e+00   -1.392519e+00   -1.291964e+00   -1.392519e+00   -1.423037e+00   -1.270296e+00   -1.434176e+00   -1.270296e+00   -1.423037e+00   -1.329348e+00   -1.350863e+00   -1.372377e+00   -1.309206e+00   -1.409761e+00   -1.278688e+00   -1.431429e+00   
           6.220000  -1.674339e+00   -1.649925e+00   -1.813805e+00   -1.661064e+00   -1.792137e+00   -1.798546e+00   -1.793816e+00   -1.840202e+00   -1.711723e+00   -1.774895e+00   -1.674339e+00   -1.774895e+00   -1.805412e+00   -1.652672e+00   -1.816551e+00   -1.652672e+00   -1.805412e+00   -1.711723e+00   -1.733238e+00   -1.754753e+00   -1.691582e+00   -1.792137e+00   -1.661064e+00   -1.813805e+00   
           7.180000  -2.016584e+00   -1.992170e+00   -2.156049e+00   -2.003308e+00   -2.134381e+00   -2.140790e+00   -2.136060e+00   -2.182447e+00   -2.053968e+00   -2.117139e+00   -2.016584e+00   -2.117139e+00   -2.147657e+00   -1.994916e+00   -2.158796e+00   -1.994916e+00   -2.147657e+00   -2.053968e+00   -2.075483e+00   -2.096997e+00   -2.033826e+00   -2.134381e+00   -2.003308e+00   -2.156049e+00   
           8.110000  -2.269824e+00   -2.245410e+00   -2.409289e+00   -2.256548e+00   -2.387621e+00   -2.394030e+00   -2.389300e+00   -2.435687e+00   -2.307208e+00   -2.370379e+00   -2.269824e+00   -2.370379e+00   -2.400897e+00   -2.248156e+00   -2.412036e+00   -2.248156e+00   -2.400897e+00   -2.307208e+00   -2.328723e+00   -2.350237e+00   -2.287066e+00   -2.387621e+00   -2.256548e+00   -2.409289e+00   
           9.010000  -2.577134e+00   -2.552720e+00   -2.716599e+00   -2.563858e+00   -2.694931e+00   -2.701340e+00   -2.696610e+00   -2.742997e+00   -2.614518e+00   -2.677689e+00   -2.577134e+00   -2.677689e+00   -2.708207e+00   -2.555466e+00   -2.719346e+00   -2.555466e+00   -2.708207e+00   -2.614518e+00   -2.636033e+00   -2.657547e+00   -2.594376e+00   -2.694931e+00   -2.563858e+00   -2.716599e+00   
           9.890000  -2.705014e+00   -2.680600e+00   -2.844479e+00   -2.691738e+00   -2.822811e+00   -2.829220e+00   -2.824490e+00   -2.870877e+00   -2.742398e+00   -2.805569e+00   -2.705014e+00   -2.805569e+00   -2.836087e+00   -2.683346e+00   -2.847226e+00   -2.683346e+00   -2.836087e+00   -2.742398e+00   -2.763913e+00   -2.785427e+00   -2.722256e+00   -2.822811e+00   -2.691738e+00   -2.844479e+00   
           10.750000  -2.881769e+00   -2.857355e+00   -3.021235e+00   -2.868494e+00   -2.999567e+00   -3.005976e+00   -3.001246e+00   -3.047632e+00   -2.919153e+00   -2.982325e+00   -2.881769e+00   -2.982325e+00   -3.012842e+00   -2.860102e+00   -3.023981e+00   -2.860102e+00   -3.012842e+00   -2.919153e+00   -2.940668e+00   -2.962183e+00   -2.899012e+00   -2.999567e+00   -2.868494e+00   -3.021235e+00   
           11.600000  -3.019650e+00   -2.995236e+00   -3.159116e+00   -3.006375e+00   -3.137448e+00   -3.143857e+00   -3.139127e+00   -3.185513e+00   -3.057034e+00   -3.120206e+00   -3.019650e+00   -3.120206e+00   -3.150723e+00   -2.997983e+00   -3.161862e+00   -2.997983e+00   -3.150723e+00   -3.057034e+00   -3.078549e+00   -3.100064e+00   -3.036893e+00   -3.137448e+00   -3.006375e+00   -3.159116e+00   
           12.440000  -3.101944e+00   -3.077530e+00   -3.241409e+00   -3.088668e+00   -3.219741e+00   -3.226150e+00   -3.221420e+00   -3.267807e+00   -3.139328e+00   -3.202499e+00   -3.101944e+00   -3.202499e+00   -3.233017e+00   -3.080276e+00   -3.244156e+00   -3.080276e+00   -3.233017e+00   -3.139328e+00   -3.160843e+00   -3.182357e+00   -3.119186e+00   -3.219741e+00   -3.088668e+00   -3.241409e+00   
           13.260000  -3.187850e+00   -3.163436e+00   -3.327316e+00   -3.174575e+00   -3.305648e+00   -3.312057e+00   -3.307327e+00   -3.353713e+00   -3.225234e+00   -3.288406e+00   -3.187850e+00   -3.288406e+00   -3.318923e+00   -3.166183e+00   -3.330062e+00   -3.166183e+00   -3.318923e+00   -3.225234e+00   -3.246749e+00   -3.268264e+00   -3.205093e+00   -3.305648e+00   -3.174575e+00   -3.327316e+00   
           14.080000  -3.281695e+00   -3.257281e+00   -3.421160e+00   -3.268420e+00   -3.399493e+00   -3.405901e+00   -3.401171e+00   -3.447558e+00   -3.319079e+00   -3.382250e+00   -3.281695e+00   -3.382250e+00   -3.412768e+00   -3.260027e+00   -3.423907e+00   -3.260027e+00   -3.412768e+00   -3.319079e+00   -3.340594e+00   -3.362109e+00   -3.298937e+00   -3.399493e+00   -3.268420e+00   -3.421160e+00   
           14.890000  -3.375273e+00   -3.350858e+00   -3.514738e+00   -3.361997e+00   -3.493070e+00   -3.499479e+00   -3.494749e+00   -3.541136e+00   -3.412657e+00   -3.475828e+00   -3.375273e+00   -3.475828e+00   -3.506346e+00   -3.353605e+00   -3.517484e+00   -3.353605e+00   -3.506346e+00   -3.412657e+00   -3.434171e+00   -3.455686e+00   -3.392515e+00   -3.493070e+00   -3.361997e+00   -3.514738e+00   
           15.700000  -3.254984e+00   -3.230570e+00   -3.394449e+00   -3.241708e+00   -3.372781e+00   -3.379190e+00   -3.374460e+00   -3.420847e+00   -3.292368e+00   -3.355539e+00   -3.254984e+00   -3.355539e+00   -3.386057e+00   -3.233316e+00   -3.397196e+00   -3.233316e+00   -3.386057e+00   -3.292368e+00   -3.313883e+00   -3.335397e+00   -3.272226e+00   -3.372781e+00   -3.241708e+00   -3.394449e+00   
