@ NAME             %07s "SQLerrTABLE"
@ TYPE             %04s "USER"
@ TITLE            %20s "FNAL Booster lattice"
@ ORIGIN           %24s "MAD-X 5.01.00 Windows 32"
@ DATE             %08s "24/03/13"
@ TIME             %08s "22.38.54"
*                 TIME               K_SQLerr01               K_SQLerr02               K_SQLerr03               K_SQLerr04               K_SQLerr05               K_SQLerr06               K_SQLerr07               K_SQLerr08               K_SQLerr09               K_SQLerr10               K_SQLerr11               K_SQLerr12               K_SQLerr13               K_SQLerr14               K_SQLerr15               K_SQLerr16               K_SQLerr17               K_SQLerr18               K_SQLerr19               K_SQLerr20               K_SQLerr21               K_SQLerr22               K_SQLerr23               K_SQLerr24 
$                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le 
             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000
             2.00000000             0.00000000             0.00000000             0.00000000             0.00000000             0.00000000             0.00000000             0.00000000             0.00000000             0.00000000             0.00000000             0.00000000             0.00000000             0.00000000             0.00000000             0.00000000             0.00000000             0.00000000             0.00000000             0.00000000             0.00000000             0.00000000             0.00000000             0.00000000             0.00000000
             3.09608010             0.00029863            -0.00038436             0.00191903            -0.00045848             0.00061395            -0.00034966            -0.00014675             0.00033359             0.00026358            -0.00009464             0.00013020             0.00133184             0.00073095            -0.00042803             0.00031195             0.00087126             0.00040439             0.00083730             0.00014176            -0.00017662             0.00015272            -0.00002685             0.00022195            -0.00001974
             4.18129020             0.00078494            -0.00052924             0.00177002            -0.00023577             0.00076606             0.00010273            -0.00018988             0.00046951             0.00038697            -0.00007514             0.00018870             0.00143285             0.00079553            -0.00022795             0.00073087             0.00092355             0.00048964             0.00077669             0.00026860             0.00009268             0.00022544             0.00006223             0.00044260             0.00023810
             5.21875000             0.00067197            -0.00030131             0.00149043             0.00019034             0.00086107             0.00013821            -0.00005628             0.00031852             0.00041725             0.00014236             0.00035906             0.00123383             0.00088235            -0.00004779             0.00069659             0.00054437             0.00065920             0.00047681             0.00062497             0.00034969             0.00004082             0.00027337             0.00010743             0.00043865
             6.21467020             0.00091415            -0.00008757             0.00151642             0.00025540             0.00099471            -0.00008770             0.00025214             0.00032632             0.00060042             0.00015190             0.00038463             0.00142957             0.00077570             0.00002823             0.00088319             0.00046642             0.00103756             0.00024078             0.00057916             0.00035372             0.00017508             0.00047089             0.00010231             0.00031843
             7.17473980             0.00112638            -0.00025817             0.00118188             0.00026594             0.00093656             0.00025530             0.00030113             0.00054638             0.00032262             0.00050232             0.00031685             0.00172798             0.00072638             0.00000543             0.00035684             0.00105128             0.00084676             0.00080478             0.00068784             0.00015116             0.00046225             0.00058982             0.00062320             0.00021967
             8.10408020             0.00085312            -0.00012503             0.00086644             0.00022729             0.00105709             0.00002466             0.00010935             0.00051081             0.00036123             0.00038696             0.00041858             0.00116089             0.00104850            -0.00007240             0.00059935             0.00089512             0.00095591             0.00037721             0.00043749             0.00021359             0.00000592             0.00069526             0.00020818             0.00047562
             9.00732040             0.00122400            -0.00006975             0.00074688             0.00029797             0.00085376             0.00022681             0.00021694             0.00059457             0.00053864             0.00027033             0.00065362             0.00118221             0.00081619             0.00019922             0.00058817             0.00061885             0.00103375             0.00020786             0.00075166             0.00037747             0.00039539             0.00040331             0.00067062             0.00009649
             9.88860990             0.00075793             0.00032068             0.00059039             0.00044747             0.00088385             0.00000526             0.00012954             0.00048251             0.00042328             0.00034158             0.00039664             0.00128224             0.00080695             0.00026864             0.00051417             0.00047026             0.00092971             0.00030421             0.00064593             0.00040570             0.00033090             0.00044670             0.00043778             0.00025200
