@ NAME             %8s "SQSTABLE"
@ TYPE             %04s "USER"
@ TITLE            %20s "FNAL Booster lattice"
@ ORIGIN           %24s "MAD-X 5.01.00 Windows 32"
@ DATE             %08s "24/03/13"
@ TIME             %08s "22.38.54"
*          TIME       I_SQS01    I_SQS10    I_SQS11    I_SQS12    I_SQS13    I_SQS14    I_SQS15    I_SQS16    I_SQS17    I_SQS18    I_SQS19    I_SQS02    I_SQS20    I_SQS21    I_SQS22    I_SQS23    I_SQS24    I_SQS03    I_SQS04    I_SQS05    I_SQS06    I_SQS07    I_SQS08    I_SQS09    
$          %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        
           0.000000  0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   
           2.000000  6.746415e-01   6.830339e-01   6.441239e-01   5.435685e-01   5.302934e-01   6.239823e-01   6.857804e-01   6.239823e-01   5.302934e-01   5.435685e-01   6.441239e-01   5.809526e-01   6.830339e-01   6.024674e-01   5.219010e-01   5.608110e-01   6.613664e-01   5.191545e-01   5.809526e-01   9.488420e-01   7.614640e-01   8.350114e-01   5.219010e-01   6.024674e-01   
           3.100000  6.650249e-01   6.734172e-01   6.345073e-01   5.339519e-01   5.206767e-01   6.143657e-01   6.761638e-01   6.143657e-01   5.206767e-01   5.339519e-01   6.345073e-01   5.713359e-01   6.734172e-01   5.928508e-01   5.122844e-01   5.511943e-01   6.517497e-01   5.095378e-01   5.713359e-01   9.392253e-01   7.518474e-01   8.253947e-01   5.122844e-01   5.928508e-01   
           4.180000  6.089815e-01   6.173739e-01   5.784639e-01   4.779085e-01   4.646334e-01   5.583223e-01   6.201204e-01   5.583223e-01   4.646334e-01   4.779085e-01   5.784639e-01   5.152926e-01   6.173739e-01   5.368074e-01   4.562410e-01   4.951510e-01   5.957064e-01   4.534945e-01   5.152926e-01   8.831820e-01   6.958040e-01   7.693514e-01   4.562410e-01   5.368074e-01   
           5.220000  7.073549e-01   7.157472e-01   6.768373e-01   5.762819e-01   5.630067e-01   6.566957e-01   7.184938e-01   6.566957e-01   5.630067e-01   5.762819e-01   6.768373e-01   6.136659e-01   7.157472e-01   6.351808e-01   5.546144e-01   5.935243e-01   6.940797e-01   5.518678e-01   6.136659e-01   9.815553e-01   7.941774e-01   8.677247e-01   5.546144e-01   6.351808e-01   
           6.220000  7.934260e-01   8.018183e-01   7.629084e-01   6.623530e-01   6.490778e-01   7.427668e-01   8.045649e-01   7.427668e-01   6.490778e-01   6.623530e-01   7.629084e-01   6.997370e-01   8.018183e-01   7.212519e-01   6.406855e-01   6.795954e-01   7.801508e-01   6.379389e-01   6.997370e-01   1.067626e+00   8.802485e-01   9.537958e-01   6.406855e-01   7.212519e-01   
           7.180000  8.524199e-01   8.608122e-01   8.219023e-01   7.213469e-01   7.080717e-01   8.017607e-01   8.635588e-01   8.017607e-01   7.080717e-01   7.213469e-01   8.219023e-01   7.587309e-01   8.608122e-01   7.802458e-01   6.996794e-01   7.385893e-01   8.391447e-01   6.969328e-01   7.587309e-01   1.126620e+00   9.392424e-01   1.012790e+00   6.996794e-01   7.802458e-01   
           8.110000  9.431489e-01   9.515412e-01   9.126313e-01   8.120759e-01   7.988007e-01   8.924897e-01   9.542878e-01   8.924897e-01   7.988007e-01   8.120759e-01   9.126313e-01   8.494599e-01   9.515412e-01   8.709748e-01   7.904084e-01   8.293183e-01   9.298737e-01   7.876618e-01   8.494599e-01   1.217349e+00   1.029971e+00   1.103519e+00   7.904084e-01   8.709748e-01   
           9.010000  9.669699e-01   9.753622e-01   9.364523e-01   8.358969e-01   8.226217e-01   9.163107e-01   9.781088e-01   9.163107e-01   8.226217e-01   8.358969e-01   9.364523e-01   8.732809e-01   9.753622e-01   8.947958e-01   8.142294e-01   8.531393e-01   9.536947e-01   8.114828e-01   8.732809e-01   1.241170e+00   1.053792e+00   1.127340e+00   8.142294e-01   8.947958e-01   
           9.890000  1.008977e+00   1.017369e+00   9.784593e-01   8.779039e-01   8.646287e-01   9.583177e-01   1.020116e+00   9.583177e-01   8.646287e-01   8.779039e-01   9.784593e-01   9.152879e-01   1.017369e+00   9.368028e-01   8.562364e-01   8.951463e-01   9.957017e-01   8.534898e-01   9.152879e-01   1.283177e+00   1.095799e+00   1.169347e+00   8.562364e-01   9.368028e-01   
           10.750000  1.043661e+00   1.052053e+00   1.013143e+00   9.125876e-01   8.993124e-01   9.930014e-01   1.054799e+00   9.930014e-01   8.993124e-01   9.125876e-01   1.013143e+00   9.499716e-01   1.052053e+00   9.714865e-01   8.909201e-01   9.298300e-01   1.030385e+00   8.881735e-01   9.499716e-01   1.317861e+00   1.130483e+00   1.204030e+00   8.909201e-01   9.714865e-01   
           11.600000  1.136575e+00   1.144967e+00   1.106057e+00   1.005502e+00   9.922267e-01   1.085916e+00   1.147714e+00   1.085916e+00   9.922267e-01   1.005502e+00   1.106057e+00   1.042886e+00   1.144967e+00   1.064401e+00   9.838344e-01   1.022744e+00   1.123300e+00   9.810878e-01   1.042886e+00   1.410775e+00   1.223397e+00   1.296945e+00   9.838344e-01   1.064401e+00   
           12.440000  1.211943e+00   1.220335e+00   1.181425e+00   1.080870e+00   1.067595e+00   1.161284e+00   1.223082e+00   1.161284e+00   1.067595e+00   1.080870e+00   1.181425e+00   1.118254e+00   1.220335e+00   1.139769e+00   1.059202e+00   1.098112e+00   1.198668e+00   1.056456e+00   1.118254e+00   1.486143e+00   1.298765e+00   1.372313e+00   1.059202e+00   1.139769e+00   
           13.260000  1.279142e+00   1.287534e+00   1.248624e+00   1.148069e+00   1.134793e+00   1.228482e+00   1.290280e+00   1.228482e+00   1.134793e+00   1.148069e+00   1.248624e+00   1.185453e+00   1.287534e+00   1.206967e+00   1.126401e+00   1.165311e+00   1.265866e+00   1.123654e+00   1.185453e+00   1.553342e+00   1.365964e+00   1.439511e+00   1.126401e+00   1.206967e+00   
           14.080000  1.333353e+00   1.341745e+00   1.302835e+00   1.202280e+00   1.189004e+00   1.282693e+00   1.344492e+00   1.282693e+00   1.189004e+00   1.202280e+00   1.302835e+00   1.239664e+00   1.341745e+00   1.261179e+00   1.180612e+00   1.219522e+00   1.320077e+00   1.177866e+00   1.239664e+00   1.607553e+00   1.420175e+00   1.493723e+00   1.180612e+00   1.261179e+00   
           14.890000  1.365924e+00   1.374316e+00   1.335406e+00   1.234851e+00   1.221576e+00   1.315265e+00   1.377063e+00   1.315265e+00   1.221576e+00   1.234851e+00   1.335406e+00   1.272235e+00   1.374316e+00   1.293750e+00   1.213183e+00   1.252093e+00   1.352649e+00   1.210437e+00   1.272235e+00   1.640124e+00   1.452746e+00   1.526294e+00   1.213183e+00   1.293750e+00   
           15.700000  1.562915e+00   1.571307e+00   1.532397e+00   1.431842e+00   1.418567e+00   1.512256e+00   1.574054e+00   1.512256e+00   1.418567e+00   1.431842e+00   1.532397e+00   1.469226e+00   1.571307e+00   1.490741e+00   1.410174e+00   1.449084e+00   1.549640e+00   1.407428e+00   1.469226e+00   1.837115e+00   1.649737e+00   1.723285e+00   1.410174e+00   1.490741e+00   
           16.510000  1.695200e+00   1.703592e+00   1.664682e+00   1.564127e+00   1.550852e+00   1.644541e+00   1.706339e+00   1.644541e+00   1.550852e+00   1.564127e+00   1.664682e+00   1.601511e+00   1.703592e+00   1.623026e+00   1.542459e+00   1.581369e+00   1.681925e+00   1.539713e+00   1.601511e+00   1.969400e+00   1.782022e+00   1.855570e+00   1.542459e+00   1.623026e+00   
           17.310000  1.867732e+00   1.876124e+00   1.837214e+00   1.736659e+00   1.723384e+00   1.817073e+00   1.878871e+00   1.817073e+00   1.723384e+00   1.736659e+00   1.837214e+00   1.774043e+00   1.876124e+00   1.795558e+00   1.714992e+00   1.753901e+00   1.854457e+00   1.712245e+00   1.774043e+00   2.141932e+00   1.954555e+00   2.028102e+00   1.714992e+00   1.795558e+00   
           19.710000  2.263646e+00   2.272039e+00   2.233129e+00   2.132573e+00   2.119298e+00   2.212987e+00   2.274785e+00   2.212987e+00   2.119298e+00   2.132573e+00   2.233129e+00   2.169957e+00   2.272039e+00   2.191472e+00   2.110906e+00   2.149816e+00   2.250371e+00   2.108159e+00   2.169957e+00   2.537847e+00   2.350469e+00   2.424016e+00   2.110906e+00   2.191472e+00   
           20.510000  2.313105e+00   2.321497e+00   2.282587e+00   2.182032e+00   2.168757e+00   2.262446e+00   2.324244e+00   2.262446e+00   2.168757e+00   2.182032e+00   2.282587e+00   2.219416e+00   2.321497e+00   2.240931e+00   2.160364e+00   2.199274e+00   2.299830e+00   2.157618e+00   2.219416e+00   2.587305e+00   2.399927e+00   2.473475e+00   2.160364e+00   2.240931e+00   
           21.310000  2.336762e+00   2.345155e+00   2.306245e+00   2.205689e+00   2.192414e+00   2.286103e+00   2.347901e+00   2.286103e+00   2.192414e+00   2.205689e+00   2.306245e+00   2.243073e+00   2.345155e+00   2.264588e+00   2.184022e+00   2.222932e+00   2.323487e+00   2.181275e+00   2.243073e+00   2.610963e+00   2.423585e+00   2.497132e+00   2.184022e+00   2.264588e+00   
           22.110000  1.911885e+00   1.920277e+00   1.881367e+00   1.780812e+00   1.767537e+00   1.861226e+00   1.923024e+00   1.861226e+00   1.767537e+00   1.780812e+00   1.881367e+00   1.818196e+00   1.920277e+00   1.839711e+00   1.759144e+00   1.798054e+00   1.898610e+00   1.756398e+00   1.818196e+00   2.186085e+00   1.998707e+00   2.072255e+00   1.759144e+00   1.839711e+00   
           22.910000  1.282620e+00   1.291012e+00   1.252102e+00   1.151547e+00   1.138271e+00   1.231960e+00   1.293758e+00   1.231960e+00   1.138271e+00   1.151547e+00   1.252102e+00   1.188931e+00   1.291012e+00   1.210445e+00   1.129879e+00   1.168789e+00   1.269344e+00   1.127132e+00   1.188931e+00   1.556820e+00   1.369442e+00   1.442989e+00   1.129879e+00   1.210445e+00   
           23.700000  9.374949e-01   9.458872e-01   9.069773e-01   8.064219e-01   7.931467e-01   8.868357e-01   9.486338e-01   8.868357e-01   7.931467e-01   8.064219e-01   9.069773e-01   8.438059e-01   9.458872e-01   8.653208e-01   7.847544e-01   8.236643e-01   9.242197e-01   7.820078e-01   8.438059e-01   1.211695e+00   1.024317e+00   1.097865e+00   7.847544e-01   8.653208e-01   
           24.500000  6.118454e-01   6.202378e-01   5.813279e-01   4.807724e-01   4.674973e-01   5.611863e-01   6.229844e-01   5.611863e-01   4.674973e-01   4.807724e-01   5.813279e-01   5.181565e-01   6.202378e-01   5.396714e-01   4.591050e-01   4.980149e-01   5.985703e-01   4.563584e-01   5.181565e-01   8.860459e-01   6.986680e-01   7.722153e-01   4.591050e-01   5.396714e-01   
           25.290000  3.609043e-01   3.692966e-01   3.303867e-01   2.298313e-01   2.165561e-01   3.102451e-01   3.720432e-01   3.102451e-01   2.165561e-01   2.298313e-01   3.303867e-01   2.672153e-01   3.692966e-01   2.887302e-01   2.081638e-01   2.470737e-01   3.476291e-01   2.054172e-01   2.672153e-01   6.351047e-01   4.477268e-01   5.212741e-01   2.081638e-01   2.887302e-01   
           26.090000  1.249574e-01   1.333497e-01   9.443978e-02   -6.115645e-03   -1.939079e-02   7.429817e-02   1.360963e-01   7.429817e-02   -1.939079e-02   -6.115645e-03   9.443978e-02   3.126839e-02   1.333497e-01   5.278328e-02   -2.778312e-02   1.112679e-02   1.116822e-01   -3.052971e-02   3.126839e-02   3.991578e-01   2.117799e-01   2.853272e-01   -2.778312e-02   5.278328e-02   
           26.880000  3.351485e-02   4.190719e-02   2.997275e-03   -9.755814e-02   -1.108333e-01   -1.714433e-02   4.465377e-02   -1.714433e-02   -1.108333e-01   -9.755814e-02   2.997275e-03   -6.017411e-02   4.190719e-02   -3.865922e-02   -1.192256e-01   -8.031571e-02   2.023971e-02   -1.219722e-01   -6.017411e-02   3.077153e-01   1.203374e-01   1.938847e-01   -1.192256e-01   -3.865922e-02   
           27.670000  -5.792765e-02   -4.953531e-02   -8.844522e-02   -1.890006e-01   -2.022758e-01   -1.085868e-01   -4.678873e-02   -1.085868e-01   -2.022758e-01   -1.890006e-01   -8.844522e-02   -1.516166e-01   -4.953531e-02   -1.301017e-01   -2.106681e-01   -1.717582e-01   -7.120279e-02   -2.134147e-01   -1.516166e-01   2.162728e-01   2.889486e-02   1.024422e-01   -2.106681e-01   -1.301017e-01   
           28.460000  -1.493701e-01   -1.409778e-01   -1.798877e-01   -2.804431e-01   -2.937183e-01   -2.000293e-01   -1.382312e-01   -2.000293e-01   -2.937183e-01   -2.804431e-01   -1.798877e-01   -2.430591e-01   -1.409778e-01   -2.215442e-01   -3.021106e-01   -2.632007e-01   -1.626453e-01   -3.048572e-01   -2.430591e-01   1.248303e-01   -6.254764e-02   1.099973e-02   -3.021106e-01   -2.215442e-01   
           29.250000  -1.995626e-01   -1.911703e-01   -2.300802e-01   -3.306356e-01   -3.439108e-01   -2.502218e-01   -1.884237e-01   -2.502218e-01   -3.439108e-01   -3.306356e-01   -2.300802e-01   -2.932516e-01   -1.911703e-01   -2.717367e-01   -3.523031e-01   -3.133932e-01   -2.128378e-01   -3.550497e-01   -2.932516e-01   7.463779e-02   -1.127401e-01   -3.919277e-02   -3.523031e-01   -2.717367e-01   
