@ NAME             %07s "SQSerrTABLE"
@ TYPE             %04s "USER"
@ TITLE            %20s "FNAL Booster lattice"
@ ORIGIN           %24s "MAD-X 5.01.00 Windows 32"
@ DATE             %08s "24/03/13"
@ TIME             %08s "22.38.54"
*                 TIME               K_SQSerr01               K_SQSerr02               K_SQSerr03               K_SQSerr04               K_SQSerr05               K_SQSerr06               K_SQSerr07               K_SQSerr08               K_SQSerr09               K_SQSerr10               K_SQSerr11               K_SQSerr12               K_SQSerr13               K_SQSerr14               K_SQSerr15               K_SQSerr16               K_SQSerr17               K_SQSerr18               K_SQSerr19               K_SQSerr20               K_SQSerr21               K_SQSerr22               K_SQSerr23               K_SQSerr24 
$                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le 
             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000
             2.00000000             0.00000000             0.00000000             0.00000000             0.00000000             0.00000000             0.00000000             0.00000000             0.00000000             0.00000000             0.00000000             0.00000000             0.00000000             0.00000000             0.00000000             0.00000000             0.00000000             0.00000000             0.00000000             0.00000000             0.00000000             0.00000000             0.00000000             0.00000000             0.00000000
             3.09608010            -0.00014299             0.00094462             0.00017276            -0.00000246            -0.00050269            -0.00035040            -0.00059486            -0.00047429             0.00010031            -0.00130193             0.00081696             0.00031729             0.00012393            -0.00111066             0.00019943             0.00014178             0.00016927            -0.00004859             0.00006364            -0.00071607            -0.00041032            -0.00014727            -0.00023865            -0.00046837
             4.18129020            -0.00068824             0.00093683             0.00012470            -0.00025274            -0.00047013            -0.00043722            -0.00074021            -0.00076289            -0.00001823            -0.00119671             0.00036980             0.00029934             0.00001947            -0.00097611             0.00014599             0.00025421            -0.00010576            -0.00026385            -0.00039025            -0.00064962            -0.00083335            -0.00051792            -0.00010206            -0.00049033
             5.21875000            -0.00057365             0.00089587            -0.00001133             0.00008937            -0.00061134            -0.00031923            -0.00084672            -0.00085616             0.00008607            -0.00095663             0.00002714             0.00034600            -0.00009215            -0.00095455             0.00007408            -0.00019615            -0.00040720            -0.00003475            -0.00021305            -0.00077719            -0.00043229            -0.00084027            -0.00025446            -0.00056907
             6.21467020            -0.00059365             0.00111918            -0.00000829             0.00005519            -0.00064550            -0.00049278            -0.00081445            -0.00082265             0.00002026            -0.00095871            -0.00009346             0.00040303            -0.00030357            -0.00085802            -0.00008501            -0.00003472            -0.00036427            -0.00013576            -0.00056278            -0.00074243            -0.00034513            -0.00093324            -0.00025624            -0.00058746
             7.17473980            -0.00053276             0.00062246             0.00016478            -0.00043114            -0.00066129            -0.00056318            -0.00070052            -0.00112557            -0.00005515            -0.00130082             0.00036661             0.00013036            -0.00041632            -0.00129005            -0.00035078             0.00009356            -0.00044204            -0.00003652            -0.00046470            -0.00082470            -0.00039947            -0.00040786            -0.00039152            -0.00050632
             8.10408020            -0.00035350             0.00047435            -0.00018667            -0.00002191            -0.00053381            -0.00052565            -0.00057966            -0.00085930             0.00001409            -0.00101866             0.00010578             0.00018849            -0.00020872            -0.00076669            -0.00019522             0.00033187            -0.00021042            -0.00037151            -0.00033512            -0.00091705            -0.00026859            -0.00059188            -0.00004186            -0.00042739
             9.00732040            -0.00041953             0.00052111             0.00006501            -0.00043558            -0.00053956            -0.00041995            -0.00082363            -0.00072058            -0.00016641            -0.00090154            -0.00003860             0.00018543            -0.00053278            -0.00094820            -0.00029120             0.00004020            -0.00079509             0.00017404            -0.00060209            -0.00047855            -0.00013367            -0.00061552            -0.00017265            -0.00035040
             9.88860990            -0.00032242             0.00066958            -0.00026124            -0.00009669            -0.00057143            -0.00059727            -0.00082835            -0.00073320            -0.00002515            -0.00097158            -0.00003981             0.00025143            -0.00037028            -0.00089184            -0.00034386            -0.00000671            -0.00056886             0.00015056            -0.00052232            -0.00050512            -0.00011239            -0.00078178            -0.00008623            -0.00057856
