@ NAME             %8s "SSLTABLE"
@ TYPE             %04s "USER"
@ TITLE            %20s "FNAL Booster lattice"
@ ORIGIN           %24s "MAD-X 5.01.00 Windows 32"
@ DATE             %08s "24/03/13"
@ TIME             %08s "22.38.54"
*          TIME       I_SSL01    I_SSL10    I_SSL11    I_SSL12    I_SSL13    I_SSL14    I_SSL15    I_SSL16    I_SSL17    I_SSL18    I_SSL19    I_SSL02    I_SSL20    I_SSL21    I_SSL22    I_SSL23    I_SSL24    I_SSL03    I_SSL04    I_SSL05    I_SSL06    I_SSL07    I_SSL08    I_SSL09    
$          %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        
           0.000000  0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   
           2.000000  -6.067461e-01   -7.178301e-01   -7.373613e-01   -7.690996e-01   -5.237383e-01   -5.579180e-01   -6.519121e-01   -7.092852e-01   -8.911699e-01   -8.252520e-01   -1.165828e+00   -1.261043e+00   -1.020564e+00   -5.151934e-01   -9.753984e-01   -7.568926e-01   -8.862871e-01   -1.079158e+00   -9.436602e-01   -1.047420e+00   -7.080645e-01   -8.337969e-01   -8.057207e-01   -7.300371e-01   
           3.100000  -6.979961e-01   -8.090801e-01   -8.286113e-01   -8.603496e-01   -6.149883e-01   -6.491680e-01   -7.431621e-01   -8.005352e-01   -9.824199e-01   -9.165020e-01   -1.257078e+00   -1.352293e+00   -1.111814e+00   -6.064434e-01   -1.066648e+00   -8.481426e-01   -9.775371e-01   -1.170408e+00   -1.034910e+00   -1.138670e+00   -7.993145e-01   -9.250469e-01   -8.969707e-01   -8.212871e-01   
           4.180000  -7.596128e-01   -8.706967e-01   -8.902280e-01   -9.219663e-01   -6.766049e-01   -7.107846e-01   -8.047788e-01   -8.621518e-01   -1.044037e+00   -9.781186e-01   -1.318695e+00   -1.413910e+00   -1.173431e+00   -6.680600e-01   -1.128265e+00   -9.097592e-01   -1.039154e+00   -1.232025e+00   -1.096527e+00   -1.200287e+00   -8.609311e-01   -9.866635e-01   -9.585874e-01   -8.829038e-01   
           5.220000  -7.657261e-01   -8.768101e-01   -8.963413e-01   -9.280796e-01   -6.827183e-01   -7.168980e-01   -8.108921e-01   -8.682652e-01   -1.050150e+00   -9.842320e-01   -1.324808e+00   -1.420023e+00   -1.179544e+00   -6.741734e-01   -1.134378e+00   -9.158726e-01   -1.045267e+00   -1.238138e+00   -1.102640e+00   -1.206400e+00   -8.670445e-01   -9.927769e-01   -9.647007e-01   -8.890171e-01   
           6.220000  -7.646350e-01   -8.757190e-01   -8.952502e-01   -9.269885e-01   -6.816272e-01   -7.158069e-01   -8.098010e-01   -8.671740e-01   -1.049059e+00   -9.831408e-01   -1.323717e+00   -1.418932e+00   -1.178453e+00   -6.730822e-01   -1.133287e+00   -9.147815e-01   -1.044176e+00   -1.237047e+00   -1.101549e+00   -1.205309e+00   -8.659533e-01   -9.916858e-01   -9.636096e-01   -8.879260e-01   
           7.180000  -7.498961e-01   -8.609801e-01   -8.805113e-01   -9.122496e-01   -6.668883e-01   -7.010680e-01   -7.950621e-01   -8.524352e-01   -1.034320e+00   -9.684020e-01   -1.308978e+00   -1.404193e+00   -1.163714e+00   -6.583434e-01   -1.118548e+00   -9.000426e-01   -1.029437e+00   -1.222308e+00   -1.086810e+00   -1.190570e+00   -8.512145e-01   -9.769469e-01   -9.488707e-01   -8.731871e-01   
           8.110000  -7.467461e-01   -8.578301e-01   -8.773613e-01   -9.090996e-01   -6.637383e-01   -6.979180e-01   -7.919121e-01   -8.492852e-01   -1.031170e+00   -9.652520e-01   -1.305828e+00   -1.401043e+00   -1.160564e+00   -6.551934e-01   -1.115398e+00   -8.968926e-01   -1.026287e+00   -1.219158e+00   -1.083660e+00   -1.187420e+00   -8.480645e-01   -9.737969e-01   -9.457207e-01   -8.700371e-01   
           9.010000  -7.377461e-01   -8.488301e-01   -8.683613e-01   -9.000996e-01   -6.547383e-01   -6.889180e-01   -7.829121e-01   -8.402852e-01   -1.022170e+00   -9.562520e-01   -1.296828e+00   -1.392043e+00   -1.151564e+00   -6.461934e-01   -1.106398e+00   -8.878926e-01   -1.017287e+00   -1.210158e+00   -1.074660e+00   -1.178420e+00   -8.390645e-01   -9.647969e-01   -9.367207e-01   -8.610371e-01   
           9.890000  -7.309794e-01   -8.420634e-01   -8.615947e-01   -8.933329e-01   -6.479716e-01   -6.821513e-01   -7.761454e-01   -8.335185e-01   -1.015403e+00   -9.494853e-01   -1.290061e+00   -1.385276e+00   -1.144798e+00   -6.394267e-01   -1.099632e+00   -8.811259e-01   -1.010520e+00   -1.203392e+00   -1.067893e+00   -1.171653e+00   -8.322978e-01   -9.580302e-01   -9.299540e-01   -8.542704e-01   
