@ NAME             %8s "SSSTABLE"
@ TYPE             %04s "USER"
@ TITLE            %20s "FNAL Booster lattice"
@ ORIGIN           %24s "MAD-X 5.01.00 Windows 32"
@ DATE             %08s "24/03/13"
@ TIME             %08s "22.38.54"
*          TIME       I_SSS01    I_SSS10    I_SSS11    I_SSS12    I_SSS13    I_SSS14    I_SSS15    I_SSS16    I_SSS17    I_SSS18    I_SSS19    I_SSS02    I_SSS20    I_SSS21    I_SSS22    I_SSS23    I_SSS24    I_SSS03    I_SSS04    I_SSS05    I_SSS06    I_SSS07    I_SSS08    I_SSS09    
$          %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        
           0.000000  0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   
           2.000000  -8.530449e-01   -1.299822e+00   -1.069109e+00   3.265607e+00   1.069562e+00   4.067207e-01   1.018293e+00   -1.778338e+00   -2.184832e+00   -1.159441e+00   1.073225e+00   8.339668e-01   1.259590e-01   2.600324e+00   6.655098e-01   1.225812e+00   -7.907891e-01   -5.051445e-01   9.291816e-01   2.556379e+00   6.728340e-01   -1.886980e+00   -1.621270e-01   -2.785418e+00   
           3.100000  -5.147949e-01   -9.615723e-01   -7.308594e-01   3.603857e+00   1.407812e+00   7.449707e-01   1.356543e+00   -1.440088e+00   -1.846582e+00   -8.211914e-01   1.411475e+00   1.172217e+00   4.642090e-01   2.938574e+00   1.003760e+00   1.564062e+00   -4.525391e-01   -1.668945e-01   1.267432e+00   2.894629e+00   1.011084e+00   -1.548730e+00   1.761230e-01   -2.447168e+00   
           4.180000  -2.052449e-01   -6.520223e-01   -4.213094e-01   3.913407e+00   1.717362e+00   1.054521e+00   1.666093e+00   -1.130538e+00   -1.537032e+00   -5.116414e-01   1.721025e+00   1.481767e+00   7.737590e-01   3.248124e+00   1.313310e+00   1.873612e+00   -1.429891e-01   1.426555e-01   1.576982e+00   3.204179e+00   1.320634e+00   -1.239180e+00   4.856730e-01   -2.137618e+00   
           5.220000  7.039508e-02   -3.763823e-01   -1.456694e-01   4.189047e+00   1.993002e+00   1.330161e+00   1.941733e+00   -8.548979e-01   -1.261392e+00   -2.360014e-01   1.996665e+00   1.757407e+00   1.049399e+00   3.523764e+00   1.588950e+00   2.149252e+00   1.326509e-01   4.182955e-01   1.852622e+00   3.479819e+00   1.596274e+00   -9.635405e-01   7.613130e-01   -1.861978e+00   
           6.220000  1.778217e-01   -2.689556e-01   -3.824271e-02   4.296474e+00   2.100429e+00   1.437587e+00   2.049160e+00   -7.474712e-01   -1.153965e+00   -1.285747e-01   2.104091e+00   1.864833e+00   1.156826e+00   3.631191e+00   1.696376e+00   2.256679e+00   2.400776e-01   5.257221e-01   1.960048e+00   3.587246e+00   1.703701e+00   -8.561138e-01   8.687397e-01   -1.754551e+00   
           7.180000  1.253551e-01   -3.214223e-01   -9.070937e-02   4.244007e+00   2.047963e+00   1.385121e+00   1.996693e+00   -7.999379e-01   -1.206432e+00   -1.810414e-01   2.051625e+00   1.812367e+00   1.104359e+00   3.578724e+00   1.643910e+00   2.204213e+00   1.876109e-01   4.732555e-01   1.907582e+00   3.534779e+00   1.651234e+00   -9.085805e-01   8.162730e-01   -1.807018e+00   
           8.110000  -1.021449e-01   -5.489223e-01   -3.182094e-01   4.016507e+00   1.820463e+00   1.157621e+00   1.769193e+00   -1.027438e+00   -1.433932e+00   -4.085414e-01   1.824125e+00   1.584867e+00   8.768590e-01   3.351224e+00   1.416410e+00   1.976713e+00   -3.988906e-02   2.457555e-01   1.680082e+00   3.307279e+00   1.423734e+00   -1.136080e+00   5.887730e-01   -2.034518e+00   
           9.010000  -4.090116e-01   -8.557889e-01   -6.250760e-01   3.709641e+00   1.513596e+00   8.507540e-01   1.462326e+00   -1.334305e+00   -1.740799e+00   -7.154081e-01   1.517258e+00   1.278000e+00   5.699923e-01   3.044358e+00   1.109543e+00   1.669846e+00   -3.467557e-01   -6.111120e-02   1.373215e+00   3.000412e+00   1.116867e+00   -1.442947e+00   2.819064e-01   -2.341385e+00   
           9.890000  -5.221116e-01   -9.688889e-01   -7.381760e-01   3.596541e+00   1.400496e+00   7.376540e-01   1.349226e+00   -1.447405e+00   -1.853899e+00   -8.285081e-01   1.404158e+00   1.164900e+00   4.568923e-01   2.931258e+00   9.964431e-01   1.556746e+00   -4.598557e-01   -1.742112e-01   1.260115e+00   2.887312e+00   1.003767e+00   -1.556047e+00   1.688064e-01   -2.454485e+00   
