@ NAME             %8s "SXLTABLE"
@ TYPE             %04s "USER"
@ TITLE            %20s "FNAL Booster lattice"
@ ORIGIN           %24s "MAD-X 5.01.00 Windows 32"
@ DATE             %08s "24/03/13"
@ TIME             %08s "22.38.54"
*          TIME       I_SXL01    I_SXL10    I_SXL11    I_SXL12    I_SXL13    I_SXL14    I_SXL15    I_SXL16    I_SXL17    I_SXL18    I_SXL19    I_SXL02    I_SXL20    I_SXL21    I_SXL22    I_SXL23    I_SXL24    I_SXL03    I_SXL04    I_SXL05    I_SXL06    I_SXL07    I_SXL08    I_SXL09    
$          %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        
           0.000000  0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   
           2.000000  8.652852e+00   9.908956e+00   2.219747e+00   7.117208e+00   7.568868e+00   6.250508e+00   3.408711e+00   8.917745e+00   9.175313e+00   8.318379e+00   1.163838e+00   9.147237e+00   7.117208e+00   6.813253e+00   3.695577e+00   2.982686e+00   6.812032e+00   3.793233e+00   5.419210e+00   7.998555e+00   9.873555e+00   4.093526e+00   7.012227e+00   1.027273e+01   
           3.100000  8.938724e+00   1.019483e+01   2.505619e+00   7.403080e+00   7.854740e+00   6.536380e+00   3.694584e+00   9.203617e+00   9.461185e+00   8.604252e+00   1.449711e+00   9.433109e+00   7.403080e+00   7.099125e+00   3.981449e+00   3.268558e+00   7.097904e+00   4.079105e+00   5.705082e+00   8.284427e+00   1.015943e+01   4.379398e+00   7.298099e+00   1.055860e+01   
           4.180000  9.056144e+00   1.031225e+01   2.623038e+00   7.520499e+00   7.972159e+00   6.653800e+00   3.812003e+00   9.321036e+00   9.578605e+00   8.721671e+00   1.567130e+00   9.550528e+00   7.520499e+00   7.216544e+00   4.098868e+00   3.385978e+00   7.215323e+00   4.196525e+00   5.822501e+00   8.401847e+00   1.027685e+01   4.496817e+00   7.415519e+00   1.067602e+01   
           5.220000  1.013909e+01   1.139519e+01   3.705984e+00   8.603445e+00   9.055105e+00   7.736745e+00   4.894949e+00   1.040398e+01   1.066155e+01   9.804617e+00   2.650076e+00   1.063347e+01   8.603445e+00   8.299490e+00   5.181814e+00   4.468923e+00   8.298269e+00   5.279470e+00   6.905447e+00   9.484792e+00   1.135979e+01   5.579763e+00   8.498464e+00   1.175896e+01   
           6.220000  1.039920e+01   1.165530e+01   3.966094e+00   8.863555e+00   9.315215e+00   7.996855e+00   5.155059e+00   1.066409e+01   1.092166e+01   1.006473e+01   2.910186e+00   1.089358e+01   8.863555e+00   8.559600e+00   5.441924e+00   4.729033e+00   8.558379e+00   5.539580e+00   7.165557e+00   9.744902e+00   1.161990e+01   5.839873e+00   8.758574e+00   1.201907e+01   
           7.180000  1.115820e+01   1.241430e+01   4.725094e+00   9.622555e+00   1.007421e+01   8.755855e+00   5.914059e+00   1.142309e+01   1.168066e+01   1.082373e+01   3.669186e+00   1.165258e+01   9.622555e+00   9.318600e+00   6.200924e+00   5.488033e+00   9.317379e+00   6.298580e+00   7.924557e+00   1.050390e+01   1.237890e+01   6.598873e+00   9.517574e+00   1.277807e+01   
           8.110000  1.094200e+01   1.219810e+01   4.508894e+00   9.406355e+00   9.858015e+00   8.539655e+00   5.697859e+00   1.120689e+01   1.146446e+01   1.060753e+01   3.452986e+00   1.143638e+01   9.406355e+00   9.102400e+00   5.984724e+00   5.271833e+00   9.101179e+00   6.082380e+00   7.708357e+00   1.028770e+01   1.216270e+01   6.382673e+00   9.301374e+00   1.256187e+01   
           9.010000  1.169787e+01   1.295397e+01   5.264760e+00   1.016222e+01   1.061388e+01   9.295522e+00   6.453725e+00   1.196276e+01   1.222033e+01   1.136339e+01   4.208852e+00   1.219225e+01   1.016222e+01   9.858266e+00   6.740590e+00   6.027700e+00   9.857046e+00   6.838247e+00   8.464223e+00   1.104357e+01   1.291857e+01   7.138540e+00   1.005724e+01   1.331774e+01   
           9.890000  1.246720e+01   1.372330e+01   6.034094e+00   1.093155e+01   1.138321e+01   1.006486e+01   7.223059e+00   1.273209e+01   1.298966e+01   1.213273e+01   4.978186e+00   1.296158e+01   1.093155e+01   1.062760e+01   7.509924e+00   6.797033e+00   1.062638e+01   7.607580e+00   9.233557e+00   1.181290e+01   1.368790e+01   7.907873e+00   1.082657e+01   1.408707e+01   
