@ NAME             %8s "SXSTABLE"
@ TYPE             %04s "USER"
@ TITLE            %20s "FNAL Booster lattice"
@ ORIGIN           %24s "MAD-X 5.01.00 Windows 32"
@ DATE             %08s "24/03/13"
@ TIME             %08s "22.38.54"
*          TIME       I_SXS01    I_SXS10    I_SXS11    I_SXS12    I_SXS13    I_SXS14    I_SXS15    I_SXS16    I_SXS17    I_SXS18    I_SXS19    I_SXS02    I_SXS20    I_SXS21    I_SXS22    I_SXS23    I_SXS24    I_SXS03    I_SXS04    I_SXS05    I_SXS06    I_SXS07    I_SXS08    I_SXS09    
$          %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        
           0.000000  0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   
           2.000000  -1.325773e+00   -7.943516e-02   -1.463712e+00   1.988852e-01   -8.899820e-01   1.553866e+00   1.119295e+00   2.178866e+00   -6.897867e-01   2.064120e+00   4.198324e-01   1.275545e+00   1.127840e+00   -2.302336e+00   6.285727e-01   1.903402e-01   3.575766e-01   2.479159e+00   -5.249918e-01   5.821859e-01   2.782309e-01   1.651522e+00   -1.403898e+00   -2.395109e+00   
           3.100000  -1.724373e+00   -4.780352e-01   -1.862312e+00   -1.997148e-01   -1.288582e+00   1.155266e+00   7.206953e-01   1.780266e+00   -1.088387e+00   1.665520e+00   2.123242e-02   8.769453e-01   7.292402e-01   -2.700936e+00   2.299727e-01   -2.082598e-01   -4.102344e-02   2.080559e+00   -9.235918e-01   1.835859e-01   -1.203691e-01   1.252922e+00   -1.802498e+00   -2.793709e+00   
           4.180000  -1.760373e+00   -5.140352e-01   -1.898313e+00   -2.357148e-01   -1.324582e+00   1.119266e+00   6.846953e-01   1.744266e+00   -1.124387e+00   1.629520e+00   -1.476758e-02   8.409453e-01   6.932402e-01   -2.736936e+00   1.939727e-01   -2.442598e-01   -7.702344e-02   2.044559e+00   -9.595918e-01   1.475859e-01   -1.563691e-01   1.216922e+00   -1.838498e+00   -2.829709e+00   
           5.220000  -1.744873e+00   -4.985352e-01   -1.882813e+00   -2.202148e-01   -1.309082e+00   1.134766e+00   7.001953e-01   1.759766e+00   -1.108887e+00   1.645020e+00   7.324219e-04   8.564453e-01   7.087402e-01   -2.721436e+00   2.094727e-01   -2.287598e-01   -6.152344e-02   2.060059e+00   -9.440918e-01   1.630859e-01   -1.408691e-01   1.232422e+00   -1.822998e+00   -2.814209e+00   
           6.220000  -1.636173e+00   -3.898352e-01   -1.774113e+00   -1.115148e-01   -1.200382e+00   1.243466e+00   8.088953e-01   1.868466e+00   -1.000187e+00   1.753720e+00   1.094324e-01   9.651453e-01   8.174402e-01   -2.612736e+00   3.181727e-01   -1.200598e-01   4.717656e-02   2.168759e+00   -8.353918e-01   2.717859e-01   -3.216914e-02   1.341122e+00   -1.714298e+00   -2.705509e+00   
           7.180000  -1.591373e+00   -3.450352e-01   -1.729313e+00   -6.671484e-02   -1.155582e+00   1.288266e+00   8.536953e-01   1.913266e+00   -9.553867e-01   1.798520e+00   1.542324e-01   1.009945e+00   8.622402e-01   -2.567936e+00   3.629727e-01   -7.525977e-02   9.197656e-02   2.213559e+00   -7.905918e-01   3.165859e-01   1.263086e-02   1.385922e+00   -1.669498e+00   -2.660709e+00   
           8.110000  -1.617813e+00   -3.714752e-01   -1.755752e+00   -9.315484e-02   -1.182022e+00   1.261826e+00   8.272553e-01   1.886826e+00   -9.818267e-01   1.772080e+00   1.277924e-01   9.835053e-01   8.358002e-01   -2.594376e+00   3.365327e-01   -1.016998e-01   6.553656e-02   2.187119e+00   -8.170318e-01   2.901459e-01   -1.380914e-02   1.359482e+00   -1.695938e+00   -2.687149e+00   
           9.010000  -1.788006e+00   -5.416685e-01   -1.925946e+00   -2.633482e-01   -1.352215e+00   1.091632e+00   6.570620e-01   1.716632e+00   -1.152020e+00   1.601886e+00   -4.240091e-02   8.133120e-01   6.656069e-01   -2.764569e+00   1.663393e-01   -2.718931e-01   -1.046568e-01   2.016925e+00   -9.872251e-01   1.199526e-01   -1.840025e-01   1.189289e+00   -1.866131e+00   -2.857342e+00   
           9.890000  -2.359073e+00   -1.112735e+00   -2.497012e+00   -8.344148e-01   -1.923282e+00   5.205656e-01   8.599531e-02   1.145566e+00   -1.723087e+00   1.030820e+00   -6.134676e-01   2.422453e-01   9.454023e-02   -3.335636e+00   -4.047273e-01   -8.429598e-01   -6.757234e-01   1.445859e+00   -1.558292e+00   -4.511141e-01   -7.550691e-01   6.182219e-01   -2.437198e+00   -3.428409e+00   
           10.750000  -3.310159e+00   -2.063821e+00   -3.448098e+00   -1.785501e+00   -2.874368e+00   -4.305201e-01   -8.650904e-01   1.944799e-01   -2.674172e+00   7.973382e-02   -1.564553e+00   -7.088404e-01   -8.565455e-01   -4.286721e+00   -1.355813e+00   -1.794045e+00   -1.626809e+00   4.947729e-01   -2.509378e+00   -1.402200e+00   -1.706155e+00   -3.328638e-01   -3.388284e+00   -4.379495e+00   
           11.600000  -3.700373e+00   -2.454035e+00   -3.838312e+00   -2.175715e+00   -3.264582e+00   -8.207344e-01   -1.255305e+00   -1.957344e-01   -3.064387e+00   -3.104805e-01   -1.954768e+00   -1.099055e+00   -1.246760e+00   -4.676936e+00   -1.746027e+00   -2.184260e+00   -2.017023e+00   1.045586e-01   -2.899592e+00   -1.792414e+00   -2.096369e+00   -7.230781e-01   -3.778498e+00   -4.769709e+00   
           12.440000  -4.008053e+00   -2.761715e+00   -4.145992e+00   -2.483395e+00   -3.572262e+00   -1.128414e+00   -1.562985e+00   -5.034144e-01   -3.372067e+00   -6.181605e-01   -2.262448e+00   -1.406735e+00   -1.554440e+00   -4.984616e+00   -2.053707e+00   -2.491940e+00   -2.324703e+00   -2.031214e-01   -3.207272e+00   -2.100094e+00   -2.404049e+00   -1.030758e+00   -4.086178e+00   -5.077389e+00   
           13.260000  -4.344506e+00   -3.098168e+00   -4.482446e+00   -2.819848e+00   -3.908715e+00   -1.464868e+00   -1.899438e+00   -8.398677e-01   -3.708520e+00   -9.546138e-01   -2.598901e+00   -1.743188e+00   -1.890893e+00   -5.321069e+00   -2.390161e+00   -2.828393e+00   -2.661157e+00   -5.395747e-01   -3.543725e+00   -2.436547e+00   -2.740502e+00   -1.367211e+00   -4.422631e+00   -5.413842e+00   
           14.080000  -4.715329e+00   -3.468991e+00   -4.853268e+00   -3.190670e+00   -4.279538e+00   -1.835690e+00   -2.270260e+00   -1.210690e+00   -4.079342e+00   -1.325436e+00   -2.969723e+00   -2.114010e+00   -2.261715e+00   -5.691891e+00   -2.760983e+00   -3.199215e+00   -3.031979e+00   -9.103970e-01   -3.914547e+00   -2.807370e+00   -3.111325e+00   -1.738034e+00   -4.793454e+00   -5.784665e+00   
           14.890000  -5.382706e+00   -4.136368e+00   -5.520646e+00   -3.858048e+00   -4.946915e+00   -2.503068e+00   -2.937638e+00   -1.878068e+00   -4.746720e+00   -1.992814e+00   -3.637101e+00   -2.781388e+00   -2.929093e+00   -6.359269e+00   -3.428361e+00   -3.866593e+00   -3.699357e+00   -1.577775e+00   -4.581925e+00   -3.474747e+00   -3.778702e+00   -2.405411e+00   -5.460831e+00   -6.452042e+00   
           15.700000  -6.027373e+00   -4.781035e+00   -6.165312e+00   -4.502715e+00   -5.591582e+00   -3.147734e+00   -3.582305e+00   -2.522734e+00   -5.391387e+00   -2.637480e+00   -4.281768e+00   -3.426055e+00   -3.573760e+00   -7.003936e+00   -4.073027e+00   -4.511260e+00   -4.344023e+00   -2.222441e+00   -5.226592e+00   -4.119414e+00   -4.423369e+00   -3.050078e+00   -6.105498e+00   -7.096709e+00   
           16.510000  -6.163790e+00   -4.917452e+00   -6.301729e+00   -4.639132e+00   -5.727999e+00   -3.284151e+00   -3.718721e+00   -2.659151e+00   -5.527803e+00   -2.773897e+00   -4.418184e+00   -3.562471e+00   -3.710176e+00   -7.140352e+00   -4.209444e+00   -4.647676e+00   -4.480440e+00   -2.358858e+00   -5.363008e+00   -4.255831e+00   -4.559786e+00   -3.186495e+00   -6.241915e+00   -7.233126e+00   
           17.310000  -5.435229e+00   -4.188891e+00   -5.573168e+00   -3.910570e+00   -4.999438e+00   -2.555590e+00   -2.990160e+00   -1.930590e+00   -4.799242e+00   -2.045336e+00   -3.689623e+00   -2.833910e+00   -2.981615e+00   -6.411791e+00   -3.480883e+00   -3.919115e+00   -3.751879e+00   -1.630297e+00   -4.634447e+00   -3.527270e+00   -3.831225e+00   -2.457934e+00   -5.513354e+00   -6.504565e+00   
           19.710000  1.850994e+01   1.975628e+01   1.837200e+01   2.003460e+01   1.894574e+01   2.138958e+01   2.095501e+01   2.201458e+01   1.914593e+01   2.189984e+01   2.025555e+01   2.111126e+01   2.096356e+01   1.753338e+01   2.046429e+01   2.002606e+01   2.019329e+01   2.231488e+01   1.931073e+01   2.041790e+01   2.011395e+01   2.148724e+01   1.843182e+01   1.744061e+01   
           20.510000  2.025778e+01   2.150412e+01   2.011985e+01   2.178244e+01   2.069358e+01   2.313742e+01   2.270285e+01   2.376242e+01   2.089377e+01   2.364768e+01   2.200339e+01   2.285910e+01   2.271140e+01   1.928122e+01   2.221213e+01   2.177390e+01   2.194113e+01   2.406272e+01   2.105857e+01   2.216574e+01   2.186179e+01   2.323508e+01   2.017966e+01   1.918845e+01   
