@ NAME             %7s "VLTABLE"
@ TYPE             %04s "USER"
@ TITLE            %20s "FNAL Booster lattice"
@ ORIGIN           %24s "MAD-X 5.01.00 Windows 32"
@ DATE             %08s "24/03/13"
@ TIME             %08s "22.38.54"
*          TIME       I_VL01    I_VL10    I_VL11    I_VL12    I_VL13    I_VL14    I_VL15    I_VL16    I_VL17    I_VL18    I_VL19    I_VL02    I_VL20    I_VL21    I_VL22    I_VL23    I_VL24    I_VL03    I_VL04    I_VL05    I_VL06    I_VL07    I_VL08    I_VL09    
$          %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        
           0.000000  0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   
           2.000000  0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   
           3.100000  1.881800e-01   2.096667e+00   6.736867e+00   6.887600e+00   8.262833e+00   4.199567e+00   5.802700e+00   5.709767e+00   4.539233e+00   4.893367e+00   6.443400e+00   -1.024863e+00   4.787000e+00   3.630500e+00   3.777633e+00   9.373167e+00   7.162367e+00   2.926967e+00   -4.588967e+00   -1.369467e+00   4.641867e+00   3.723067e+00   3.035933e+00   1.870300e+00   
           4.180000  -2.354356e+00   2.179467e+00   6.897427e+00   7.153280e+00   9.535433e+00   5.242487e+00   7.462660e+00   6.603647e+00   2.770553e+00   2.305327e+00   3.078120e+00   -3.009507e+00   2.594600e+00   4.035500e+00   3.460473e+00   8.208567e+00   4.876727e+00   5.140607e+00   -8.518067e-01   -1.655307e+00   2.318427e+00   1.542187e+00   3.892133e-01   5.559400e-01   
           5.220000  -4.802724e+00   2.259200e+00   7.052040e+00   7.409120e+00   1.076090e+01   6.246780e+00   9.061140e+00   7.464420e+00   1.067380e+00   -1.868600e-01   -1.625200e-01   -4.920646e+00   4.834000e-01   4.425500e+00   3.155060e+00   7.087100e+00   2.675740e+00   7.272260e+00   2.746940e+00   -1.930560e+00   8.104000e-02   -5.579200e-01   -2.159480e+00   -7.097400e-01   
           6.220000  -6.533895e+00   2.425645e+00   7.412860e+00   7.644010e+00   1.208700e+01   7.287650e+00   1.070880e+01   8.556600e+00   4.065500e-01   -1.566335e+00   -2.294515e+00   -5.852785e+00   -1.008552e+00   4.649525e+00   2.860935e+00   6.285270e+00   1.218985e+00   9.576595e+00   5.677055e+00   -1.869865e+00   -1.336355e+00   -2.167815e+00   -4.208995e+00   -1.663510e+00   
           7.180000  -6.075255e+00   2.891005e+00   8.481340e+00   7.831690e+00   1.386300e+01   8.542850e+00   1.266720e+01   1.050540e+01   3.096950e+00   5.703850e-01   -9.920350e-01   -3.665665e+00   -6.095035e-01   4.350725e+00   2.577015e+00   6.456630e+00   2.065465e+00   1.265555e+01   6.685295e+00   -7.041850e-01   -1.989950e-01   -2.319735e+00   -4.811155e+00   -1.683190e+00   
           8.110000  -5.630948e+00   3.341822e+00   9.516430e+00   8.013505e+00   1.558350e+01   9.758825e+00   1.456440e+01   1.239330e+01   5.703275e+00   2.640332e+00   2.697425e-01   -1.546893e+00   -2.229258e-01   4.061263e+00   2.301968e+00   6.622635e+00   2.885492e+00   1.563830e+01   7.662027e+00   4.250675e-01   9.028225e-01   -2.466907e+00   -5.394497e+00   -1.702255e+00   
           9.010000  -5.200973e+00   3.778097e+00   1.051813e+01   8.189455e+00   1.724850e+01   1.093557e+01   1.640040e+01   1.422030e+01   8.225525e+00   4.643507e+00   1.490817e+00   5.035325e-01   1.511817e-01   3.781138e+00   2.035793e+00   6.783285e+00   3.679067e+00   1.852482e+01   8.607252e+00   1.517892e+00   1.969097e+00   -2.609332e+00   -5.959022e+00   -1.720705e+00   
           9.890000  -4.780553e+00   4.204677e+00   1.149757e+01   8.361495e+00   1.887650e+01   1.208617e+01   1.819560e+01   1.600670e+01   1.069172e+01   6.602167e+00   2.684757e+00   2.508392e+00   5.169757e-01   3.507238e+00   1.775533e+00   6.940365e+00   4.455007e+00   2.134720e+01   9.531472e+00   2.586432e+00   3.011677e+00   -2.748592e+00   -6.511002e+00   -1.738745e+00   
