@ NAME             %7s "VSTABLE"
@ TYPE             %04s "USER"
@ TITLE            %20s "FNAL Booster lattice"
@ ORIGIN           %24s "MAD-X 5.01.00 Windows 32"
@ DATE             %08s "24/03/13"
@ TIME             %08s "22.38.54"
*          TIME       I_VS01    I_VS10    I_VS11    I_VS12    I_VS13    I_VS14    I_VS15    I_VS16    I_VS17    I_VS18    I_VS19    I_VS02    I_VS20    I_VS21    I_VS22    I_VS23    I_VS24    I_VS03    I_VS04    I_VS05    I_VS06    I_VS07    I_VS08    I_VS09    
$          %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        
           0.000000  0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   
           2.000000  0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   
           3.100000  -2.811367e+00   -6.710500e+00   -1.434100e+00   -6.940867e+00   -5.293100e+00   -7.228900e+00   -9.170300e+00   -1.099833e+01   -2.193200e+00   -8.729533e+00   -8.003600e+00   -4.534067e+00   -1.006610e+01   -2.431300e+00   -1.102437e+01   -9.344133e+00   -9.123453e+00   5.285667e+00   6.019167e+00   -6.334900e+00   -8.232100e+00   -5.746267e+00   -4.583667e+00   9.311000e-01   
           4.180000  -4.501267e-01   -7.147900e+00   -1.435180e+00   -8.743027e+00   -5.510180e+00   -8.804620e+00   -1.056674e+01   -1.076433e+01   2.243440e+00   -4.069693e+00   -2.685680e+00   -3.735587e+00   -7.971980e+00   -3.730540e+00   -9.019527e+00   -6.494373e+00   -5.650749e+00   -2.861133e+00   1.474167e+00   -4.703020e+00   -6.451180e+00   -3.016747e+00   -1.394067e+00   1.072580e+00   
           5.220000  1.823660e+00   -7.569100e+00   -1.436220e+00   -1.047844e+01   -5.719220e+00   -1.032198e+01   -1.191146e+01   -1.053900e+01   6.515760e+00   4.175600e-01   2.435280e+00   -2.966680e+00   -5.955420e+00   -4.981660e+00   -7.088940e+00   -3.750160e+00   -2.306664e+00   -1.070620e+01   -2.902500e+00   -3.131580e+00   -4.736220e+00   -3.883200e-01   1.677400e+00   1.208820e+00   
           6.220000  3.193720e+00   -8.251575e+00   -1.334871e+00   -1.247080e+01   -6.289270e+00   -1.195170e+01   -1.314110e+01   -1.083640e+01   9.003570e+00   3.170740e+00   5.869715e+00   -3.391000e+00   -4.419075e+00   -5.846850e+00   -5.662615e+00   -1.861235e+00   -3.203520e-01   -1.674070e+01   -6.143145e+00   -2.341960e+00   -3.793530e+00   2.010020e+00   4.105795e+00   1.516755e+00   
           7.180000  1.730680e+00   -9.851175e+00   -8.892145e-01   -1.548520e+01   -8.092630e+00   -1.409730e+01   -1.410590e+01   -1.287160e+01   5.877330e+00   4.990600e-01   4.096835e+00   -7.759000e+00   -4.314675e+00   -5.527650e+00   -5.756935e+00   -2.599715e+00   -2.597088e+00   -1.739830e+01   -5.960505e+00   -4.039240e+00   -5.292570e+00   3.873380e+00   4.650355e+00   2.414595e+00   
           8.110000  3.133600e-01   -1.140079e+01   -4.574853e-01   -1.840540e+01   -9.839635e+00   -1.617585e+01   -1.504055e+01   -1.484320e+01   2.848785e+00   -2.089130e+00   2.379358e+00   -1.199050e+01   -4.213538e+00   -5.218425e+00   -5.848307e+00   -3.315117e+00   -4.802676e+00   -1.803535e+01   -5.783573e+00   -5.683480e+00   -6.744765e+00   5.678510e+00   5.177897e+00   3.284377e+00   
           9.010000  -1.058240e+00   -1.290041e+01   -3.968275e-02   -2.123140e+01   -1.153028e+01   -1.818735e+01   -1.594505e+01   -1.675120e+01   -8.206500e-02   -4.593830e+00   7.172825e-01   -1.608550e+01   -4.115663e+00   -4.919175e+00   -5.936732e+00   -4.007442e+00   -6.937116e+00   -1.865185e+01   -5.612348e+00   -7.274680e+00   -8.150115e+00   7.425410e+00   5.688422e+00   4.126102e+00   
           9.890000  -2.399360e+00   -1.436671e+01   3.688352e-01   -2.399460e+01   -1.318336e+01   -2.015415e+01   -1.682945e+01   -1.861680e+01   -2.947785e+00   -7.042870e+00   -9.078575e-01   -2.008950e+01   -4.019963e+00   -4.626575e+00   -6.023192e+00   -4.684382e+00   -9.024124e+00   -1.925465e+01   -5.444928e+00   -8.830520e+00   -9.524235e+00   9.133490e+00   6.187602e+00   4.949122e+00   
